"DEVICE_TYPE","APP_SERVICE","TER_TYPE","APP_TERMINAL_TYPE_VERSION","LEATEST_APP_VERSION","FORCED","STATUS","EXCEPTION_ERROR_CODE","EXCEPTION_MESSAGE","EXCEPTION_MESSAGE_DETAILED"
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [1000102] and Terminal [ORG-2-1-TR-10-4156]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [testm2] and Terminal [ORG-2-1-TR-10-4680]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [mega] and Terminal [ORG-2-1-TR-10-4587]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [shady] and Terminal [ORG-2-1-TR-10-4407]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [ess] and Terminal [ORG-2-1-TR-10-3969]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [mtest] and Terminal [ORG-2-1-TR-10-4678]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [omnia8] and Terminal [ORG-2-1-TR-10-4909]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [bk8] and Terminal [ORG-1-1-TR-1-8585955]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [salesbuzz] and Terminal [ORG-2-1-TR-10-5289]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [omnia1] and Terminal [ORG-2-1-TR-10-4759]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [omnia3] and Terminal [ORG-2-1-TR-10-4917]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [121212] and Terminal [ORG-2-1-TR-10-4177]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [ette2] and Terminal [ORG-2-1-TR-10-4675]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [omnia13] and Terminal [ORG-2-1-TR-10-4920]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [sm] and Terminal [ORG-2-1-TR-10-65]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [mk8] and Terminal [ORG-2-1-TR-10-3430]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [otty] and Terminal [ORG-2-1-TR-10-4684]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [testmc] and Terminal [ORG-2-1-TR-10-5140]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [ma2] and Terminal [ORG-2-1-TR-10-5138]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [212121] and Terminal [ORG-2-1-TR-10-4174]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [mer_1] and Terminal [ORG-2-1-TR-10-4467]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [merch_1] and Terminal [ORG-2-1-TR-10-4458]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [merch_3] and Terminal [ORG-2-1-TR-10-4462]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [ma22] and Terminal [ORG-2-1-TR-10-5188]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [b2bnew] and Terminal [ORG-2-1-TR-10-3158]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [salesbuzz2] and Terminal [ORG-2-1-TR-10-5290]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [mlsi2] and Terminal [ORG-2-1-TR-10-5187]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [hrz] and Terminal [ORG-2-1-TR-10-3663]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [slm] and Terminal [ORG-2-1-TR-10-3664]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [n2n2] and Terminal [ORG-2-1-TR-10-4677]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [uat1] and Terminal [ORG-2-1-TR-10-4197]",,,
"xgd_n5","FRMA","POS 3","FRMA.POS 3.3.0.140","3.3.0.140","false","Success for User [smb2b] and Terminal [ORG-2-1-TR-10-3151]",,,
